Package              Version   Latest      Type
-------------------- --------- ----------- -----
aiobotocore          2.2.0     2.3.2       sdist
anyio                3.5.0     3.6.1       wheel
asgiref              3.5.0     3.5.2       wheel
Babel                2.9.1     2.10.1      wheel
boto3                1.21.21   1.23.8      wheel
botocore             1.24.21   1.26.8      wheel
cachetools           4.2.4     5.1.0       wheel
certifi              2021.10.8 2022.5.18.1 wheel
cryptography         36.0.2    37.0.2      wheel
distro               1.6.0     1.7.0       wheel
dulwich              0.20.35   0.20.42     wheel
dvclive              0.7.3     0.8.2       wheel
fastapi              0.75.2    0.78.0      wheel
fsspec               2022.3.0  2022.5.0    wheel
gast                 0.4.0     0.5.3       wheel
google-auth          1.35.0    2.6.6       wheel
google-auth-oauthlib 0.4.6     0.5.1       wheel
grandalf             0.6       0.7         wheel
grpcio               1.42.0    1.46.3      wheel
h5py                 3.6.0     3.7.0       wheel
importlib-metadata   4.11.3    4.11.4      wheel
Jinja2               3.1.1     3.1.2       wheel
json5                0.9.5     0.9.8       sdist
jsonschema           4.4.0     4.5.1       wheel
jupyter-client       7.3.0     7.3.1       wheel
jupyter-core         4.9.2     4.10.0      wheel
jupyterlab           3.3.4     3.4.2       wheel
jupyterlab-server    2.13.0    2.14.0      wheel
keras                2.7.0     2.9.0       wheel
mailchecker          4.1.16    4.1.17      sdist
Markdown             3.3.6     3.3.7       wheel
matplotlib           3.5.1     3.5.2       wheel
mistune              0.8.4     2.0.2       wheel
nbclient             0.6.0     0.6.3       wheel
nbformat             5.3.0     5.4.0       wheel
networkx             2.8       2.8.2       wheel
numpy                1.22.3    1.22.4      wheel
phonenumbers         8.12.47   8.12.48     wheel
Pillow               9.1.0     9.1.1       wheel
pip                  22.0.4    22.1.1      wheel
protobuf             3.19.4    4.21.0      wheel
psutil               5.9.0     5.9.1       wheel
pyasn1-modules       0.2.7     0.2.8       wheel
pydantic             1.9.0     1.9.1       wheel
pygit2               1.9.0     1.9.2       wheel
PyJWT                2.3.0     2.4.0       wheel
pyparsing            2.4.7     3.0.9       wheel
PyQt5                5.12.3    5.15.6      wheel
PyQt5_sip            4.19.18   12.10.1     wheel
PyQtChart            5.12      5.15.5      wheel
PyQtWebEngine        5.12.1    5.15.5      wheel
python-fsutil        0.6.0     0.6.1       wheel
pyzmq                22.3.0    23.0.0      wheel
QtPy                 2.0.1     2.1.0       wheel
rich                 12.3.0    12.4.4      wheel
s3fs                 2022.3.0  2022.5.0    wheel
scikit-learn         1.0.2     1.1.1       wheel
scipy                1.8.0     1.8.1       wheel
scmrepo              0.0.19    0.0.22      wheel
setuptools           62.1.0    62.3.2      wheel
shortuuid            1.0.8     1.0.9       wheel
smmap                3.0.5     5.0.0       wheel
soupsieve            2.3.1     2.3.2.post1 wheel
starlette            0.17.1    0.20.0      wheel
tensorflow           2.7.0     2.9.1       wheel
tensorflow-estimator 2.7.0     2.9.0       wheel
terminado            0.13.3    0.15.0      wheel
traitlets            5.1.1     5.2.1.post0 wheel
wrapt                1.14.0    1.14.1      wheel
xmltodict            0.12.0    0.13.0      wheel
